"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"f:\Fool_app\README.md", "Markdown", 2, 0, 0, 0, 1, 3
"f:\Fool_app\fool_app\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"f:\Fool_app\fool_app\data\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"f:\Fool_app\fool_app\data\files_data.json", "JSON", 0, 0, 23, 0, 0, 23
"f:\Fool_app\fool_app\data\global_variables.py", "Python", 0, 8, 0, 7, 8, 23
"f:\Fool_app\fool_app\main.py", "Python", 0, 40, 0, 11, 14, 65
"f:\Fool_app\fool_app\modules\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"f:\Fool_app\fool_app\modules\assets_tab.py", "Python", 0, 587, 0, 60, 277, 924
"f:\Fool_app\fool_app\modules\elementsTab.py", "Python", 0, 251, 0, 39, 121, 411
"f:\Fool_app\fool_app\modules\ftrack_tab.py", "Python", 0, 602, 0, 42, 266, 910
"f:\Fool_app\fool_app\modules\main_window.py", "Python", 0, 103, 0, 6, 23, 132
"f:\Fool_app\fool_app\modules\sequences_tab.py", "Python", 0, 259, 0, 43, 125, 427
"f:\Fool_app\fool_app\modules\tools_tab.py", "Python", 0, 180, 0, 10, 82, 272
"f:\Fool_app\fool_app\modules\treeview_tab.py", "Python", 0, 265, 0, 23, 118, 406
"f:\Fool_app\fool_app\modules\utilities.py", "Python", 0, 110, 0, 2, 38, 150
"f:\Fool_app\fool_app\modules\welcome_tab.py", "Python", 0, 145, 0, 12, 50, 207
"f:\Fool_app\fool_app\temp\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"f:\Fool_app\fool_app\test.py", "Python", 0, 52, 0, 3, 28, 83
"f:\Fool_app\fool_app\tools\test.py", "Python", 0, 1, 0, 0, 0, 1
"Total", "-", 2, 2603, 23, 258, 1155, 4041